model_eff,depth,arm,k,gain,se,n
gpt-5.6-sol:low,12,C,2,0.825,0.06084343084444759,40
gpt-5.6-sol:low,12,C,4,0.725,0.07149950690165272,40
gpt-5.6-sol:low,12,C,8,0.8,0.06405126152203484,40
gpt-5.6-sol:low,12,B,1,-0.075,0.0831086715213959,40
gpt-5.6-sol:low,12,B,2,-0.05,0.07966275068156915,40
gpt-5.6-sol:low,12,B,4,-0.125,0.07327066086497203,40
gpt-5.6-sol:low,12,B,8,0.0,0.09473309334313418,40
gpt-5.6-sol:none,3,C,1,0.775,0.06686668711812965,40
gpt-5.6-sol:none,3,C,2,0.8,0.06405126152203486,40
gpt-5.6-sol:none,3,C,4,0.8,0.06405126152203486,40
gpt-5.6-sol:none,3,C,8,0.8,0.06405126152203486,40
gpt-5.6-sol:none,3,B,1,0.8,0.06405126152203486,40
gpt-5.6-sol:none,3,B,2,0.8,0.06405126152203486,40
gpt-5.6-sol:none,3,B,4,0.8,0.06405126152203486,40
gpt-5.6-sol:none,3,B,8,0.8,0.06405126152203486,40
gpt-5.6-sol:none,4,C,1,0.475,0.09464847243000456,40
gpt-5.6-sol:none,4,C,2,0.575,0.09396876185801431,40
gpt-5.6-sol:none,4,C,4,0.425,0.10055933316793367,40
gpt-5.6-sol:none,4,C,8,0.425,0.10055933316793368,40
gpt-5.6-sol:none,4,B,1,0.225,0.10431399837227148,40
gpt-5.6-sol:none,4,B,2,0.4,0.09336995618478523,40
gpt-5.6-sol:none,4,B,4,0.375,0.08539125638299666,40
gpt-5.6-sol:none,4,B,8,0.45,0.10095695960312835,40
gpt-5.6-sol:none,6,C,1,-0.025,0.08387643536927646,40
gpt-5.6-sol:none,6,C,2,-0.025,0.07584988548577465,40
gpt-5.6-sol:none,6,C,4,-0.05,0.07966275068156914,40
gpt-5.6-sol:none,6,C,8,-0.1,0.07844645405527362,40
gpt-5.6-sol:none,6,B,1,-0.1,0.0784464540552736,40
gpt-5.6-sol:none,6,B,2,-0.05,0.06149838438569978,40
gpt-5.6-sol:none,6,B,4,-0.075,0.07499999999999998,40
gpt-5.6-sol:none,6,B,8,-0.025,0.07584988548577465,40
gpt-5.6-sol:none,8,C,1,0.1,0.0599144689515278,40
gpt-5.6-sol:none,8,C,2,0.125,0.06392603899459484,40
gpt-5.6-sol:none,8,C,4,0.125,0.06392603899459487,40
gpt-5.6-sol:none,8,C,8,0.075,0.05532537786493134,40
gpt-5.6-sol:none,8,B,1,0.1,0.06979824404521127,40
gpt-5.6-sol:none,8,B,2,0.1,0.06979824404521127,40
gpt-5.6-sol:none,8,B,4,0.125,0.06392603899459484,40
gpt-5.6-sol:none,8,B,8,0.15,0.0674631903431942,40
gpt-5.6-sol:none,12,C,1,-0.05,0.06149838438569978,40
gpt-5.6-sol:none,12,C,2,-0.075,0.04217636961434867,40
gpt-5.6-sol:none,12,C,4,-0.025,0.07584988548577465,40
gpt-5.6-sol:none,12,C,8,-0.05,0.06149838438569978,40
gpt-5.6-sol:none,12,B,1,0.0,0.0716114874039433,40
gpt-5.6-sol:none,12,B,2,-0.05,0.06149838438569978,40
gpt-5.6-sol:none,12,B,4,-0.125,0.05295740910852021,40
gpt-5.6-sol:none,12,B,8,-0.025,0.07584988548577465,40
gpt-6-astra:low,3,C,1,0.0,0.0,40
gpt-6-astra:low,3,C,2,0.0,0.0,40
gpt-6-astra:low,3,C,4,0.0,0.0,40
gpt-6-astra:low,3,C,8,0.0,0.0,40
gpt-6-astra:low,3,B,1,0.0,0.0,40
gpt-6-astra:low,3,B,2,0.0,0.0,40
gpt-6-astra:low,3,B,4,0.0,0.0,40
gpt-6-astra:low,3,B,8,0.0,0.0,40
gpt-6-astra:low,4,C,1,0.0,0.0,40
gpt-6-astra:low,4,C,2,0.0,0.0,40
gpt-6-astra:low,4,C,4,0.0,0.0,40
gpt-6-astra:low,4,C,8,0.0,0.0,40
gpt-6-astra:low,4,B,1,0.0,0.0,40
gpt-6-astra:low,4,B,2,0.0,0.0,40
gpt-6-astra:low,4,B,4,0.0,0.0,40
gpt-6-astra:low,4,B,8,0.0,0.0,40
gpt-6-astra:low,6,C,1,0.45,0.07966275068156914,40
gpt-6-astra:low,6,C,2,0.45,0.07966275068156914,40
gpt-6-astra:low,6,C,4,0.45,0.07966275068156915,40
gpt-6-astra:low,6,C,8,0.45,0.07966275068156914,40
gpt-6-astra:low,6,B,1,0.45,0.07966275068156915,40
gpt-6-astra:low,6,B,2,0.45,0.07966275068156915,40
gpt-6-astra:low,6,B,4,0.45,0.07966275068156914,40
gpt-6-astra:low,6,B,8,0.45,0.07966275068156915,40
gpt-6-astra:low,8,C,1,0.85,0.06746319034319419,40
gpt-6-astra:low,8,C,2,0.875,0.0529574091085202,40
gpt-6-astra:low,8,C,4,0.9,0.04803844614152613,40
gpt-6-astra:low,8,C,8,0.9,0.048038446141526144,40
gpt-6-astra:low,8,B,1,0.875,0.05295740910852021,40
gpt-6-astra:low,8,B,2,0.925,0.04217636961434866,40
gpt-6-astra:low,8,B,4,0.925,0.04217636961434869,40
gpt-6-astra:low,8,B,8,0.925,0.04217636961434867,40
gpt-6-astra:low,12,C,1,0.225,0.0911992746259952,40
gpt-6-astra:low,12,C,2,0.3,0.10860419786947369,40
gpt-6-astra:low,12,C,4,0.275,0.10734260988738764,40
gpt-6-astra:low,12,C,8,0.175,0.10674376220290707,40
gpt-6-astra:low,12,B,1,0.2,0.10253204627247285,40
gpt-6-astra:low,12,B,2,0.45,0.10095695960312837,40
gpt-6-astra:low,12,B,4,0.375,0.10553587310872314,40
gpt-6-astra:low,12,B,8,0.425,0.10674376220290706,40
