model_eff,task,depth,arm,k0_acc,threshold_tokens,acc_at_max,max_tokens,n_min,compliant
gpt-6-astra:low,stack,32,XC,0.725,inf,0.85,700,40,1.0
gpt-6-astra:low,xor,48,XB,0.925,1.0,0.85,700,40,1.0
gpt-6-astra:low,xor,48,XC,0.925,20.0,0.925,700,40,1.0
gpt-6-astra:low,xor,64,XB,0.625,inf,0.7,700,40,1.0
gpt-6-astra:low,xor,64,XC,0.625,140.0,0.675,700,40,1.0
claude-opus-5:off,perm,2,XB,0.825,1.0,0.7,700,40,0.9571428571428572
claude-opus-5:off,perm,3,XB,0.1625,140.0,0.4791666666666667,700,240,0.9660714285714286
claude-opus-5:off,lookup,3,XB,0.7,inf,0.5,700,40,0.9500000000000001
claude-opus-5:off,lookup,4,XB,0.375,inf,0.275,700,40,0.9321428571428572
claude-opus-5:off,modchain,4,XB,0.575,inf,0.375,700,40,0.9749999999999999
claude-opus-5:off,modchain,6,XB,0.275,inf,0.325,700,40,0.9928571428571429
google/gemini-2.5-flash:off,perm,2,XB,0.1625,inf,0.5458333333333333,700,240,1.0
google/gemini-2.5-flash:off,perm,2,XC,0.1625,inf,0.5666666666666667,700,240,0.7577380952380952
google/gemini-2.5-flash:off,perm,3,XB,0.35,inf,0.05,700,40,1.0
google/gemini-2.5-flash:off,perm,3,XC,0.35,inf,0.15,700,40,0.7571428571428572
google/gemini-2.5-flash:off,lookup,2,XB,0.75,inf,0.85,700,40,1.0
google/gemini-2.5-flash:off,lookup,2,XC,0.75,140.0,0.875,700,40,0.7499999999999999
google/gemini-2.5-flash:off,lookup,3,XB,0.35,inf,0.225,700,40,1.0
google/gemini-2.5-flash:off,lookup,3,XC,0.35,inf,0.375,700,40,0.7392857142857144
google/gemini-2.5-flash:off,modchain,3,XB,0.225,inf,0.45,700,40,1.0
google/gemini-2.5-flash:off,modchain,3,XC,0.225,inf,0.325,700,40,0.8321428571428572
google/gemini-2.5-flash:off,modchain,4,XB,0.275,inf,0.3,700,40,1.0
google/gemini-2.5-flash:off,modchain,4,XC,0.275,inf,0.2,700,40,0.8107142857142857
